,time,delay
627,2023-07-20 09:25:00,137.617
628,2023-07-20 09:26:00,88.944
629,2023-07-20 09:27:00,91.703
630,2023-07-20 09:28:01,inf
631,2023-07-20 09:29:00,121.26
632,2023-07-20 09:30:00,89.867
633,2023-07-20 09:31:00,1640.749
634,2023-07-20 09:32:00,122.815
635,2023-07-20 09:33:00,103.44
636,2023-07-20 09:34:00,107.666
637,2023-07-20 09:35:00,117.534
638,2023-07-20 09:36:00,inf
639,2023-07-20 09:37:00,inf
640,2023-07-20 09:38:00,108.162
641,2023-07-20 09:39:00,85.66
642,2023-07-20 09:40:00,99.817
643,2023-07-20 09:41:00,83.825
644,2023-07-20 09:42:00,268.709
645,2023-07-20 09:43:00,93.084
646,2023-07-20 09:44:00,85.638
647,2023-07-20 09:45:01,95.432
648,2023-07-20 09:46:00,111.592
649,2023-07-20 09:47:00,87.459
650,2023-07-20 09:48:00,84.344
651,2023-07-20 09:49:00,86.616
652,2023-07-20 09:50:00,77.724
653,2023-07-20 09:51:00,93.431
654,2023-07-20 09:52:00,107.308
655,2023-07-20 09:53:00,91.564
656,2023-07-20 09:54:01,86.426
657,2023-07-20 09:55:00,88.475
658,2023-07-20 09:56:00,94.865
659,2023-07-20 09:57:00,100.411
660,2023-07-20 09:58:01,88.194
661,2023-07-20 09:59:00,94.478
662,2023-07-20 10:00:00,85.279
663,2023-07-20 10:19:26,57.329
664,2023-07-20 10:20:01,8.45
665,2023-07-20 10:21:14,39.627
666,2023-07-20 10:22:01,7.648
667,2023-07-20 10:23:00,6.929
668,2023-07-20 10:24:01,7.516
669,2023-07-20 10:25:00,8.814
670,2023-07-20 10:26:00,9.07
671,2023-07-20 10:27:01,7.495
672,2023-07-20 10:28:00,6.936
673,2023-07-20 10:29:00,15.207
674,2023-07-20 10:30:00,7.301
675,2023-07-20 10:31:01,10.774
676,2023-07-20 10:32:00,8.203
677,2023-07-20 10:33:00,7.11
678,2023-07-20 10:34:00,11.709
679,2023-07-20 10:35:00,22.331
680,2023-07-20 10:37:01,10.938
681,2023-07-20 10:38:00,9.099
682,2023-07-20 10:39:00,7.044
683,2023-07-20 10:40:00,8.622
684,2023-07-20 10:41:00,7.307
685,2023-07-20 10:42:00,7.988
686,2023-07-20 10:43:01,10.718
687,2023-07-20 10:44:00,7.851
688,2023-07-20 10:45:00,7.256
689,2023-07-20 10:46:00,7.086
690,2023-07-20 10:47:00,11.698
691,2023-07-20 10:48:00,7.979
692,2023-07-20 10:49:00,9.532
693,2023-07-20 10:50:01,8.69
694,2023-07-20 10:51:00,8.255
695,2023-07-20 10:52:00,9.43
696,2023-07-20 10:53:00,72.801
697,2023-07-20 10:54:01,7.691
698,2023-07-20 10:55:00,9.14
699,2023-07-20 10:56:00,7.41
700,2023-07-20 10:57:00,12.798
701,2023-07-20 10:58:00,8.119
702,2023-07-20 10:59:00,7.861
703,2023-07-20 11:00:00,9.858
704,2023-07-20 11:01:00,12.119
705,2023-07-20 11:02:00,8.718
706,2023-07-20 11:03:01,138.992
707,2023-07-20 11:04:00,102.863
708,2023-07-20 11:05:00,9.226
709,2023-07-20 11:06:00,11.092
710,2023-07-20 11:07:00,5.76
711,2023-07-20 11:08:00,12.714
712,2023-07-20 11:09:01,8.923
713,2023-07-20 11:10:00,10.301
714,2023-07-20 11:11:00,11.422
715,2023-07-20 11:12:00,12.132
716,2023-07-20 11:13:00,8.814
717,2023-07-20 11:14:00,11.758
718,2023-07-20 11:15:00,14.901
719,2023-07-20 11:16:00,8.015
720,2023-07-20 11:17:00,9.161
721,2023-07-20 11:18:00,9.74
722,2023-07-20 11:19:00,7.274
723,2023-07-20 11:20:00,18.157
724,2023-07-20 11:21:00,12.449
725,2023-07-20 11:22:00,9.891
726,2023-07-20 11:23:00,8.153
727,2023-07-20 11:24:00,8.659
728,2023-07-20 11:25:00,18.015
729,2023-07-20 11:26:00,9.309
730,2023-07-20 11:27:01,8.161
731,2023-07-20 11:28:00,7.875
732,2023-07-20 11:29:00,10.668
733,2023-07-20 11:30:00,10.06
734,2023-07-20 11:31:00,7.501
735,2023-07-20 11:32:00,7.84
736,2023-07-20 11:33:00,7.508
